chemical,year,species,location,median,low75,high75,low50,high50,type,group,units
PBDEs,2002,Chum,BCWC,12361.47729360681,5453.554257671622,33453.80428235891,7750.984251377996,21566.850416047986,Contaminants,Species,kg
PBDEs,2002,Chum,BeringSea,7156.172805000062,3124.4622116661744,18661.7259021536,4381.294231854915,12088.772288818114,Contaminants,Species,kg
PBDEs,2002,Chum,CentralAK,3552.9264501435064,1521.513372824104,9540.08958616364,2158.3228511100915,5840.800990941618,Contaminants,Species,kg
PBDEs,2002,Chum,SEAK,6469.837006095504,2713.7354779988423,16706.918610520086,3939.6337442237095,11098.147545740758,Contaminants,Species,kg
PBDEs,2002,Coho,BCWC,2978.7523706960064,1280.3905475901918,7303.1294637830415,1786.9025559417332,4914.157093328067,Contaminants,Species,kg
PBDEs,2002,Coho,BeringSea,418.1541949885455,180.99743994637666,1012.7500302124233,253.33945560592718,700.7225240400456,Contaminants,Species,kg
PBDEs,2002,Coho,CentralAK,1680.3082813156457,702.6239975215112,4212.193727195665,1004.4820803725303,2801.1652465279367,Contaminants,Species,kg
PBDEs,2002,Coho,SEAK,1724.8098718913525,718.7682199195026,4411.145214592109,1051.858527245274,2881.247827267116,Contaminants,Species,kg
PBDEs,2002,Pink,BCWC,17830.334415658894,7324.654769834437,45255.91047860693,10200.471201833276,29727.97500041799,Contaminants,Species,kg
PBDEs,2002,Pink,BeringSea,2246.612025319725,903.4570600990551,5809.494965250582,1311.3462683674109,3858.011482082441,Contaminants,Species,kg
PBDEs,2002,Pink,CentralAK,19789.451408983594,7937.194534022342,50733.29295662952,11199.347810690795,32000.71631442572,Contaminants,Species,kg
PBDEs,2002,Pink,SEAK,38435.966375146316,15373.350928272655,98642.84001852295,22413.994712253556,63728.81016852326,Contaminants,Species,kg
PBDEs,2002,Sockeye,BCWC,12965.114009224608,6250.3581197756,27897.587798030716,8486.861172922407,19507.467907321974,Contaminants,Species,kg
PBDEs,2002,Sockeye,BeringSea,17132.71387916315,8284.489560883645,36341.80518033233,11478.739116760808,26384.16248544291,Contaminants,Species,kg
PBDEs,2002,Sockeye,CentralAK,9362.116560364426,4684.729909121958,20062.659950156103,6180.518049117061,14167.124303254952,Contaminants,Species,kg
PBDEs,2002,Sockeye,SEAK,959.7909691533157,467.30658789925013,2054.9739360970525,644.6951551862002,1447.804413030159,Contaminants,Species,kg
PBDEs,2003,Chinook,BCWC,48008.160050362116,22036.74958682292,90133.90113951953,31309.467070595463,71066.01416458303,Contaminants,Species,kg
PBDEs,2003,Chinook,BeringSea,14260.782749741476,6583.905308789341,27636.27317431883,9256.630811799163,21171.430146179533,Contaminants,Species,kg
PBDEs,2003,Chinook,CentralAK,2601.9103999645677,1200.5991307869408,4889.444557184737,1699.3461650655458,3843.950098114306,Contaminants,Species,kg
PBDEs,2003,Chinook,SEAK,2680.57425070731,1214.592021924455,5021.954821888289,1719.3824733632573,3835.3852183708186,Contaminants,Species,kg
PBDEs,2003,Chum,BCWC,12039.458743547162,5226.640979738532,32346.43112694437,7468.55196568587,20892.195024671302,Contaminants,Species,kg
PBDEs,2003,Chum,BeringSea,7302.069391645626,3183.1533693818083,19146.862369561968,4462.617906422186,12255.749695625993,Contaminants,Species,kg
PBDEs,2003,Chum,CentralAK,3539.4649168823507,1517.9384942752135,9559.72585982014,2142.36120213714,5843.231530297,Contaminants,Species,kg
PBDEs,2003,Chum,SEAK,6017.42004805309,2559.9855707151305,15828.59647556198,3641.089481571911,10374.421493538162,Contaminants,Species,kg
PBDEs,2003,Coho,BCWC,3061.2186128675594,1307.8479373961472,7443.781754124305,1849.7380333427727,5022.336452898683,Contaminants,Species,kg
PBDEs,2003,Coho,BeringSea,398.09461552186235,173.704805816752,966.2553344946161,245.81528062796696,669.8216560401036,Contaminants,Species,kg
PBDEs,2003,Coho,CentralAK,1668.6838041774597,705.021466901534,4107.176252330273,988.7290664110376,2774.401898193444,Contaminants,Species,kg
PBDEs,2003,Coho,SEAK,1693.1740219963294,712.0722231560454,4288.02048260129,1030.071977188581,2842.0894259004663,Contaminants,Species,kg
PBDEs,2003,Pink,BCWC,18056.017415247792,7425.912220611346,46112.599462301594,10399.014621512191,30119.16409189631,Contaminants,Species,kg
PBDEs,2003,Pink,BeringSea,2297.1396315150046,939.8921537347672,5941.425768937477,1340.4128224469057,3941.229226635888,Contaminants,Species,kg
PBDEs,2003,Pink,CentralAK,19887.24114759043,7991.629865857283,51555.62341543343,11282.7842810905,32077.119775426538,Contaminants,Species,kg
PBDEs,2003,Pink,SEAK,38699.90535236138,15633.785534252664,98670.12268782458,22372.62112669707,64777.35782003221,Contaminants,Species,kg
PBDEs,2003,Sockeye,BCWC,12923.63620588451,6247.472375989663,27723.109937325757,8460.069249321532,19521.287665747892,Contaminants,Species,kg
PBDEs,2003,Sockeye,BeringSea,17018.89979998295,8272.887419861676,35944.610574028935,11361.060729604887,26099.68551757207,Contaminants,Species,kg
PBDEs,2003,Sockeye,CentralAK,9485.56264639922,4706.494337736362,20401.94806233656,6276.844323474519,14318.854583913617,Contaminants,Species,kg
PBDEs,2003,Sockeye,SEAK,949.6999306267405,458.7159333599042,2036.907476433401,630.5897322640333,1437.6950241271525,Contaminants,Species,kg
PBDEs,2004,Chinook,BCWC,47447.25563478583,21672.45737751923,88425.98631019154,30632.28588928375,70190.30063463819,Contaminants,Species,kg
PBDEs,2004,Chinook,BeringSea,13259.995070287903,6157.8392225995885,25927.065964690795,8708.270504071346,19951.081397112197,Contaminants,Species,kg
PBDEs,2004,Chinook,CentralAK,2484.292630593403,1144.167612207796,4620.91794219846,1603.8033539719188,3624.1291610473163,Contaminants,Species,kg
PBDEs,2004,Chinook,SEAK,2527.4886359182806,1143.1387409736278,4655.795630482316,1622.6961391649643,3618.319013915936,Contaminants,Species,kg
PBDEs,2004,Chum,BCWC,11653.672962182629,5027.428791601964,31643.33596420297,7218.527805549438,20050.83073676769,Contaminants,Species,kg
PBDEs,2004,Chum,BeringSea,7382.183628287401,3220.227364985182,19382.359171002845,4540.616878981684,12502.198580854596,Contaminants,Species,kg
PBDEs,2004,Chum,CentralAK,3521.2510502692858,1515.023731809059,9383.477624205156,2118.947665285157,5839.159213744048,Contaminants,Species,kg
PBDEs,2004,Chum,SEAK,5515.749758167768,2338.7526062839524,14619.91877549302,3395.6665046881626,9728.661266319043,Contaminants,Species,kg
PBDEs,2004,Coho,BCWC,3102.85765659871,1314.4340721434216,7527.323866904646,1875.178581429756,5063.566011399382,Contaminants,Species,kg
PBDEs,2004,Coho,BeringSea,387.37434582521666,168.14058141841238,930.0781626653642,233.6046745497907,642.553459173906,Contaminants,Species,kg
PBDEs,2004,Coho,CentralAK,1656.2548835699436,685.3219402216366,4037.520989883988,979.626093131449,2742.282154314607,Contaminants,Species,kg
PBDEs,2004,Coho,SEAK,1645.1559422125138,703.9537898780028,4195.89783799357,1011.8193951563277,2783.9187901072337,Contaminants,Species,kg
