species,year,location,low75,median,high75,low50,high50,.group,type,panel,fill,data,y,x,PANEL,shape,colour,size,alpha,stroke,facet
Chum,1992,NA,3264.0970398599197,3840.8953357182913,4744.449788518464,3494.878298593878,4327.257016805917,97,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1992,NA,687.4767968042369,808.835102942475,996.8307426171643,737.2495492793079,901.8838236346027,17,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1992,NA,4318.447644642357,4934.180984343996,5570.865175783822,4574.545321318314,5300.687475388312,177,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1992,NA,3426.2436344395155,3943.6557608727016,4601.3177473109445,3640.6516203694546,4280.324557476974,137,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1993,NA,777.1145893264938,924.3997642128102,1100.4223453758104,837.2553155350449,1016.9727858458444,58,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1993,NA,3355.9213814780906,3951.5869058198577,4912.081475821699,3580.209945257027,4431.335826160964,98,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1993,NA,688.2856785795286,809.4681709663282,1004.7648425723316,737.9995604907969,905.1975277513695,18,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1993,NA,4437.699344277851,5038.208287205304,5684.792741186044,4681.375583109466,5428.171513665234,178,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1993,NA,3429.2855897255695,3943.958449951504,4573.112142236782,3634.0476037815565,4274.374190584691,138,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1994,NA,791.937327003063,939.6169640938335,1122.1915234247315,849.0882258963271,1036.9226096356756,59,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1994,NA,3435.8083528894103,4052.5555805575655,5030.786889797647,3668.8348753992786,4554.893003348998,99,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1994,NA,685.3902495685707,810.0662088019274,1000.5606543728028,732.8582742102844,902.7930390824588,19,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Pink,1994,NA,4536.630271010741,5154.2811695019955,5819.433129473819,4777.752515377601,5543.06282631877,179,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Sockeye,1994,NA,3429.6487703496196,3934.4938025215406,4567.042715001593,3644.621342810498,4274.085967790436,139,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chinook,1995,NA,804.6044642209188,952.9871472930117,1134.9433542970767,854.1539649371582,1048.19035937596,60,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Chum,1995,NA,3539.9595540884857,4182.3980710821215,5178.823932817147,3785.2705397615155,4670.900781503167,100,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
Coho,1995,NA,681.6439267435323,804.6093883622916,989.7794100427241,729.5302290949684,894.6247380818975,20,Nutrients,e) Species nutrients,#972C80FF,ribbons,NA,NA,NA,NA,NA,NA,NA,NA,e) Species nutrients
